taxpayer_id,filing_year,total_income,total_expenses,tax_paid,tax_due,tax_refund_claimed,number_of_dependents,declarations_of_assets,foreign_income,previous_audit_flag,tax_credits_claimed,charitable_donations,high_value_transactions,business_sector,employment_type,risk_flag,is_anomaly
COM5125544,2022,1064643.03,705819.52,83116.99,89705.88,0,0,4001543.91,169644.08,TRUE,3289.2,10695.71,8,Tech,,0,0
IND9077426,2024,102439.31,34342.9,14110.32,13619.28,0,3,473724.17,17644.48,TRUE,6292.14,5096.59,3,,Salaried,1,0
IND1287995,2023,76667.4,26136.96,8859.68,10106.09,662.08,1,179904.17,0,FALSE,460.01,9939.3,2,,Self-Employed,1,0
IND9105035,2022,103942.23,35779.94,13408.22,13632.46,0,4,377126.73,0,FALSE,1751.57,7517.52,2,,Self-Employed,1,0
COM9245774,2024,879255.98,619443.23,64866.26,64953.19,0,0,3938557.68,396108.52,TRUE,16956.69,10732.36,5,Finance,,2,0
IND8796332,2023,106060.25,23833.5,16046.39,16445.35,0,0,344687.42,0,FALSE,6815.46,11281.4,0,,Self-Employed,2,0
COM3722306,2024,953388.1,642675.77,69668.8,77678.08,0,0,1922243.62,151818.32,TRUE,19221.94,1796.65,11,Retail,,0,0
IND9704228,2022,5958.84,856.13,1244.41,1020.54,0,1,26678.38,14768.72,FALSE,296.53,306.94,1,,Salaried,2,0
COM1415764,2022,452229.67,308807.36,37673.5,35855.58,3275.14,0,1519462.12,0,FALSE,6723.06,6486.83,28,Manufacturing,,0,0
COM6115342,2024,851471.86,728253.16,29437.66,30804.67,497.26,0,3274159.74,102797.74,TRUE,2036.45,2934.4,6,Finance,,1,0
COM0192507,2024,1708686.35,1298233.71,102441.86,102613.16,4070.64,0,5989514.47,233568.05,TRUE,18178.58,2828.15,5,Healthcare,,2,0
IND9465668,2024,58432.73,16864.25,9446.94,8313.7,1280.93,0,160535.87,0,TRUE,2293.28,5724.67,1,,Salaried,1,0
COM0264035,2024,1165301.8,732103.53,106927.89,108299.57,0,0,2465177.11,0,FALSE,4976.84,21927.66,35,Tech,,0,0
IND3636654,2022,72396.8,25648.99,9524.13,9349.56,0,4,290091.92,12387.45,FALSE,3906.53,12879.31,3,,Salaried,1,0
IND3454541,2022,88468.28,21615.66,13456.71,13370.52,0,0,267390.04,0,TRUE,4292.4,5872.23,1,,Self-Employed,1,0
COM7593692,2024,1332611.2,1165788.92,34461.4,41705.57,0,0,6213359.47,0,TRUE,10160.64,16254.1,7,Retail,,0,0
COM8599601,2023,861904.34,564226.41,81123.24,74419.48,626.87,0,2784351.2,340638.59,FALSE,9409.08,9802.32,50,Finance,,1,0
COM1018300,2022,1392089.26,968614.65,99987.37,105868.65,0,0,6867622.75,0,FALSE,6470.41,21409.13,31,Manufacturing,,1,0
IND4174570,2024,26937.792,33261.11,11661.88,11306.31,0,0,395205.1,0,FALSE,2723.89,13754.3,2,,Salaried,0,1
IND1632433,2022,62263.79,20411.29,7789.77,8370.5,0,0,267232.1,14104.42,FALSE,195.17,3559.31,2,,Self-Employed,0,0
COM8353910,2022,919409.35,570307.93,8727.535,87275.35,0,0,12720619.08,137564.06,FALSE,6734.27,6014.71,47,Retail,,1,1
COM4169613,2023,1072778.78,851870.04,52258.53,55227.18,1143.36,0,4990935.01,350447.24,FALSE,164.41,20784.82,39,Tech,,2,0
COM7392048,2023,993351.19,892433.7,32072.62,25229.37,1466.11,0,3698842.69,384216.55,TRUE,1896,7027.73,23,Tech,,2,0
IND1849956,2023,97992.52,11778.31,17953.22,17242.84,0,2,231955.56,0,TRUE,1305.9,7343.95,2,,Self-Employed,0,0
COM3571036,2023,786392.36,637088.24,40680.57,37326.03,0,0,2988860.07,0,FALSE,10874.49,11614.16,42,Manufacturing,,2,0
COM7337806,2023,683532.33,456642.04,68341.21,56722.57,1645.39,0,2563736.63,221600.81,FALSE,8901.53,4212.51,5,Retail,,2,0
IND6647445,2024,66523.79,19861.59,9318.8,9332.44,947.09,0,230951.51,0,TRUE,1588.8,13070.18,3,,Self-Employed,0,0
COM3792414,2024,571949.77,414102.59,39686.59,39461.8,0,0,2602989.94,378256.17,FALSE,4502.22,499.21,21,Retail,,1,0
IND8370320,2022,109459.73,131351.676,16362.87,16244.78,2738.93,3,305176.06,12330.7,FALSE,4299.24,2490.01,1,,Salaried,2,1
COM3881956,2024,1092800.27,839077.53,63231.21,63430.68,0,0,2680332.26,114094.22,TRUE,2316.06,11062.1,5,Tech,,0,0
COM9116623,2023,1206477.91,802244.07,103797.15,101058.46,2735.81,0,4890043.51,0,FALSE,21732.74,21269.4,22,Retail,,0,0
COM5942596,2022,1317113.03,1055346.44,61962.5,65441.65,4534.04,0,2792518.93,354311.07,TRUE,8631.65,25910.2,46,Finance,,2,0
COM2567663,2023,1043881.62,687390.99,88851.85,89122.66,0,0,2132308.18,0,TRUE,24937.54,18353.69,12,Tech,,0,0
COM2811189,2022,1089980.66,816598.92,69739.8,68345.43,0,0,4805856.79,192619.29,TRUE,11338,11781.84,26,Retail,,1,0
COM2396334,2024,969602.53,748370.02,44845.46,55308.13,0,0,3697794.82,0,TRUE,1772.42,4631.7,11,Manufacturing,,1,0
COM2740512,2023,825623.22,559876.96,68554.33,66436.56,1401.24,0,3539961.1,0,TRUE,17143.55,6818.54,50,Retail,,1,0
COM4963247,2023,876617.45,623866.61,64550.52,63187.71,0,0,2964412.44,150765.39,TRUE,9836.72,16447.24,33,Healthcare,,1,0
COM6230136,2022,774282.06,516674.27,64751.71,64401.95,6015.71,0,2417774.88,284043.74,TRUE,2583.12,6235.01,18,Retail,,1,0
IND9412907,2022,72342.41,9455.32,12978.49,12577.42,0,2,301089.79,1440.46,FALSE,5687.08,1922.92,0,,Salaried,0,0
COM3968801,2024,875290.81,637331.07,60366.03,59489.94,474.76,0,3952945.2,214150.74,FALSE,1695.46,1486.62,44,Finance,,1,0
IND6463508,2024,81732.99,17767.37,12819.6,12793.12,1077.19,4,194445.62,0,TRUE,3599.36,15931.54,2,,Salaried,0,0
IND4412198,2023,31892.29,11250.85,3270.97,4128.29,0,0,144345.25,0,TRUE,1256.51,5588.95,2,,Self-Employed,2,0
COM1586604,2022,417499.01,334024.81,18852.56,20868.55,0,0,1846788.49,393081.83,TRUE,1125.39,6154.46,32,Finance,,1,0
COM5757394,2023,1442034.24,1118369.72,91674.77,80916.13,0,0,5023478.91,0,FALSE,21898.3,11224.11,16,Tech,,2,0
IND5542457,2024,81751.44,31713.01,9654.99,10007.69,210.3,1,343090.55,0,FALSE,3484.67,11090.2,3,,Self-Employed,0,0
COM2713796,2022,954752.86,780712.12,46304.81,43510.18,1901.02,0,4647835.92,279410.99,TRUE,6588.54,349.58,14,Finance,,1,0
COM0869819,2023,1115824.65,703654.01,106479.98,103042.66,0,0,3885769.16,0,FALSE,15758.49,11606.46,18,Finance,,1,0
